Property Category,Iter,적용,Log Name,Log Definition,Property Name,Property Definition,Data Type,Sample Values,Notes
,0.0.2,🔴,,,totalSteps,튜토리얼 총 스텝 수,int,5,
,0.0.2,🔴,,,action,액션,varchar(20),"start, step_complete, complete, skip",
,0.0.2,🔴,,,durationSec,소요 시간(초),int,30,
앨범 레벨,0.0.2,🔴,AlbumLevelLog,앨범 레벨 변동 시 기록되는 로그,createdAt,로그 생성 시간,datetime,,
,0.0.2,🔴,,,actionId,액션 아이디,binary(16),,
,0.0.2,🔴,,,owner,유저 구분자,bigint,,
,0.0.2,🔴,,,albumCode,앨범 코드,int,1001,
,0.0.2,🔴,,,beforeLevel,변경 전 레벨,int,3,
,0.0.2,🔴,,,afterLevel,변경 후 레벨,int,4,
,0.0.2,🔴,,,beforeExp,변경 전 경험치,int,950,
,0.0.2,🔴,,,afterExp,변경 후 경험치,int,50,레벨업 후 잔여 경험치
,0.0.2,🔴,,,source,레벨업 원인,varchar(30),"play, card_upgrade, collection","어떤 행위로 경험치가 올랐는지"
시즌패스,0.0.2,🔴,SeasonPassLog,시즌패스 관련 기록 로그,createdAt,로그 생성 시간,datetime,,
,0.0.2,🔴,,,actionId,액션 아이디,binary(16),,
,0.0.2,🔴,,,owner,유저 구분자,bigint,,
,0.0.2,🔴,,,seasonId,시즌 식별자,int,1,
,0.0.2,🔴,,,action,액션 유형,varchar(20),"purchase, level_up, reward_claim",구매/레벨업/보상수령 구분
,0.0.2,🔴,,,passType,패스 타입,varchar(20),"free, premium",무료/프리미엄 구분
,0.0.2,🔴,,,beforeLevel,변경 전 레벨,int,10,
,0.0.2,🔴,,,afterLevel,변경 후 레벨,int,11,
,0.0.2,🔴,,,rewardId,수령한 보상 ID,int,5001,reward_claim 시에만 기록
,0.0.2,🔴,,,rewardType,보상 아이템 타입,varchar(30),"dia, card_pack, profile_bg",reward_claim 시에만 기록
,0.0.2,🔴,,,rewardQuantity,보상 수량,int,100,reward_claim 시에만 기록
이벤트패스,0.0.2,🔴,EventPassLog,이벤트패스 관련 기록 로그,createdAt,로그 생성 시간,datetime,,
,0.0.2,🔴,,,actionId,액션 아이디,binary(16),,
,0.0.2,🔴,,,owner,유저 구분자,bigint,,
,0.0.2,🔴,,,eventId,이벤트 식별자,int,1,
,0.0.2,🔴,,,eventName,이벤트명,varchar(50),valentine_2026,
,0.0.2,🔴,,,action,액션 유형,varchar(20),"purchase, level_up, reward_claim, mission_complete",
,0.0.2,🔴,,,passType,패스 타입,varchar(20),"free, premium",
,0.0.2,🔴,,,beforeLevel,변경 전 레벨,int,5,
,0.0.2,🔴,,,afterLevel,변경 후 레벨,int,6,
,0.0.2,🔴,,,rewardId,수령한 보상 ID,int,7001,
,0.0.2,🔴,,,rewardType,보상 아이템 타입,varchar(30),"dia, card_pack, limited_card",
,0.0.2,🔴,,,rewardQuantity,보상 수량,int,1,
프로필 커스텀,0.0.2,🔴,ProfileCustomizeLog,프로필 커스터마이즈 변경 로그,createdAt,로그 생성 시간,datetime,,
,0.0.2,🔴,,,actionId,액션 아이디,binary(16),,
,0.0.2,🔴,,,owner,유저 구분자,bigint,,
,0.0.2,🔴,,,customizeType,커스텀 유형,varchar(30),"profile_icon, profile_bg, title_badge, favorite_card",
,0.0.2,🔴,,,beforeItemId,변경 전 아이템 ID,int,0,0=미설정
,0.0.2,🔴,,,afterItemId,변경 후 아이템 ID,int,3001,
,0.0.2,🔴,,,source,획득 경로,varchar(30),"default, purchase, event, achievement, season_pass",
화면 퍼널 — 인게임 일시정지,0.0.2,🔴,ScreenEventLog,화면 단위 유저 인터랙션 퍼널 로그,createdAt,로그 생성 시간,datetime,,
,0.0.2,🔴,,,actionId,액션 아이디,binary(16),,
,0.0.2,🔴,,,owner,유저 구분자,bigint,,
,0.0.2,🔴,,,screenName,화면 이름,varchar(50),"pause, result, weekly_league, nav_fixed","화면/영역 구분"
,0.0.2,🔴,,,actionName,액션 이름,varchar(50),아래 액션 목록 참조,"화면 내 구체적 행동"
,0.0.2,🔴,,,contextJson,부가 컨텍스트 (선택),json,"{""albumCode"":1001}","화면별 필요한 추가 정보"
,,,,,,,,,"--- 아래는 screenName + actionName 조합 정의 ---"
화면 퍼널 — 인게임 일시정지,,,,,pause,인게임 플레이 화면 일시 중지,,,"screenName=pause"
,,,,,pause,close,닫기 (게임 복귀),,
,,,,,pause,exit,나가기 (게임 종료),,
,,,,,pause,restart,재시작,,
화면 퍼널 — 게임 결과 화면,,,,,result,게임 결과 화면,,,"screenName=result"
,,,,,result,restart,재시작,,
,,,,,result,inventory,인벤토리,,
,,,,,result,next,다음,,
화면 퍼널 — 주간 리그,,,,,weekly_league,주간 리그 화면,,,"screenName=weekly_league"
,,,,,weekly_league,enter,주간 리그 화면 진입,,
,,,,,weekly_league,hall_of_fame,명예의 전당 탭 활성화,,
,,,,,weekly_league,reward_detail,보상 상세 보기 팝업 출력,,
,,,,,weekly_league,my_score,내 점수 확인 팝업 출력,,
,,,,,weekly_league,album_select,앨범 선택 화면,,
화면 퍼널 — 고정 네비게이션,,,,,nav_fixed,하단/상단 고정 네비게이션,,,"screenName=nav_fixed"
,,,,,nav_fixed,nav_popup,고정 네비 팝업 진입,,
,,,,,nav_fixed,shop,상점 버튼 누름,,
,,,,,nav_fixed,inventory,인벤토리 버튼 누름,,
,,,,,nav_fixed,collection,콜렉션 버튼 누름,,
,,,,,nav_fixed,league,리그 버튼 누름,,
,,,,,nav_fixed,season_pass,시즌 패스 버튼 누름,,
,,,,,nav_fixed,event_pass,이벤트 패스 버튼 누름,,
,,,,,nav_fixed,settings,설정 버튼 누름,,
,,,,,nav_fixed,help,도움말 버튼 누름,,
,,,,,nav_fixed,restore_purchase,구매복원 버튼 누름,,
,,,,,nav_fixed,notice,공지 버튼 누름,,
,,,,,nav_fixed,attendance,출석부 버튼 누름,,
